enter_threshold_v,exit_threshold_v,snapshot_window_s,min_duration_s,voltage,std_dev,rmse,num_snapshots
0.8,0.6,0.2,0.2,0.8953347149999988,0.11771971646819634,1.2212453270876722e-15,4
0.8,0.7,0.2,0.2,0.8953347149999988,0.11771971646819634,1.2212453270876722e-15,5
1.0,0.3,0.2,0.2,-0.0184834,nan,0.19704277800000003,0
1.0,0.3,0.2,0.5,-0.0184834,nan,0.19704277800000003,0
1.0,0.3,0.2,1.0,-0.0184834,nan,0.19704277800000003,0
1.0,0.5,0.2,0.2,-0.0184834,nan,0.19704277800000003,0
1.0,0.5,0.2,0.5,-0.0184834,nan,0.19704277800000003,0
1.0,0.5,0.2,1.0,-0.0184834,nan,0.19704277800000003,0
1.0,0.6,0.2,0.2,-0.0184834,nan,0.19704277800000003,0
1.0,0.6,0.2,0.5,-0.0184834,nan,0.19704277800000003,0
1.0,0.6,0.2,1.0,-0.0184834,nan,0.19704277800000003,0
1.0,0.7,0.2,0.2,-0.0184834,nan,0.19704277800000003,0
1.0,0.7,0.2,0.5,-0.0184834,nan,0.19704277800000003,0
1.0,0.7,0.2,1.0,-0.0184834,nan,0.19704277800000003,0
1.0,0.8,0.2,0.2,-0.0184834,nan,0.19704277800000003,0
1.0,0.8,0.2,0.5,-0.0184834,nan,0.19704277800000003,0
1.0,0.8,0.2,1.0,-0.0184834,nan,0.19704277800000003,0
1.0,0.3,0.5,0.2,-0.0184834,nan,0.4686490752,0
1.0,0.3,0.5,0.5,-0.0184834,nan,0.4686490752,0
1.0,0.3,0.5,1.0,-0.0184834,nan,0.4686490752,0
1.0,0.5,0.5,0.2,-0.0184834,nan,0.4686490752,0
1.0,0.5,0.5,0.5,-0.0184834,nan,0.4686490752,0
1.0,0.5,0.5,1.0,-0.0184834,nan,0.4686490752,0
1.0,0.6,0.5,0.2,-0.0184834,nan,0.4686490752,0
1.0,0.6,0.5,0.5,-0.0184834,nan,0.4686490752,0
1.0,0.6,0.5,1.0,-0.0184834,nan,0.4686490752,0
1.0,0.7,0.5,0.2,-0.0184834,nan,0.4686490752,0
1.0,0.7,0.5,0.5,-0.0184834,nan,0.4686490752,0
1.0,0.7,0.5,1.0,-0.0184834,nan,0.4686490752,0
1.0,0.8,0.5,0.2,-0.0184834,nan,0.4686490752,0
1.0,0.8,0.5,0.5,-0.0184834,nan,0.4686490752,0
1.0,0.8,0.5,1.0,-0.0184834,nan,0.4686490752,0
0.9,0.3,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
0.9,0.5,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
0.9,0.6,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
0.9,0.7,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
0.9,0.8,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
1.0,0.3,1.0,0.2,-0.0184834,nan,0.5758633066000001,0
1.0,0.3,1.0,0.5,-0.0184834,nan,0.5758633066000001,0
1.0,0.3,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
1.0,0.5,1.0,0.2,-0.0184834,nan,0.5758633066000001,0
1.0,0.5,1.0,0.5,-0.0184834,nan,0.5758633066000001,0
1.0,0.5,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
1.0,0.6,1.0,0.2,-0.0184834,nan,0.5758633066000001,0
1.0,0.6,1.0,0.5,-0.0184834,nan,0.5758633066000001,0
1.0,0.6,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
1.0,0.7,1.0,0.2,-0.0184834,nan,0.5758633066000001,0
1.0,0.7,1.0,0.5,-0.0184834,nan,0.5758633066000001,0
1.0,0.7,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
1.0,0.8,1.0,0.2,-0.0184834,nan,0.5758633066000001,0
1.0,0.8,1.0,0.5,-0.0184834,nan,0.5758633066000001,0
1.0,0.8,1.0,1.0,-0.0184834,nan,0.5758633066000001,0
0.9,0.3,2.0,0.5,-0.0184834,nan,0.5825874969,0
0.9,0.3,2.0,1.0,-0.0184834,nan,0.5825874969,0
0.9,0.5,2.0,0.5,-0.0184834,nan,0.5825874969,0
0.9,0.5,2.0,1.0,-0.0184834,nan,0.5825874969,0
