derivative_threshold,integration_threshold,leakage_factor,iir_window,voltage,std_dev,rmse,num_snapshots
0.01,0.5,0.99,4,0.9321378326875498,0.01647780594646048,0.01935248211245022,3
0.02,0.2,0.95,4,0.9321378326875498,0.01647780594646048,0.01935248211245022,2
0.02,0.5,0.99,4,0.9321378326875498,0.01647780594646048,0.01935248211245022,3
0.05,0.05,0.99,16,0.6332146146103292,0.2297162018868225,0.01943236561032924,3
0.005,0.01,0.8,32,0.9300533058317938,0.001488767309983122,0.02026986676820619,1
0.005,0.5,0.8,4,0.593487856569404,0.2297162018868225,0.020294392430596053,4
0.02,0.5,0.95,4,0.593487856569404,0.2297162018868225,0.020294392430596053,4
0.001,0.2,0.8,16,0.9311322712533402,0.016486514360358657,0.02052247774665983,2
0.01,0.1,0.99,16,0.9159169888091259,0.072769670019679,0.020856586590874193,1
0.05,0.01,0.9,8,0.9244027733261487,0.025397292680889947,0.02087695907385123,1
0.005,0.5,0.9,4,0.9253283335833996,0.0395850537717431,0.020998192416600392,3
0.005,0.5,0.95,4,0.9253283335833996,0.0395850537717431,0.020998192416600392,3
0.01,0.5,0.95,4,0.9253283335833996,0.0395850537717431,0.020998192416600392,3
0.02,0.2,0.9,8,0.915729725189771,0.07277366217736395,0.021060966810228954,3
0.05,0.01,0.8,8,0.915729725189771,0.07277366217736395,0.021060966810228954,2
0.001,0.05,0.7,32,0.9278071168445577,0.0014375979991162343,0.022275109755442224,1
0.005,0.05,0.9,32,0.9278071168445577,0.0014375979991162343,0.022275109755442224,1
0.01,0.01,0.8,32,0.9278071168445577,0.0014375979991162343,0.022275109755442224,1
0.02,0.1,0.7,32,0.5348294372061239,0.3189927791167353,0.02272561220612379,2
0.02,0.1,0.8,32,0.5348294372061239,0.3189927791167353,0.02272561220612379,2
0.005,0.01,0.7,32,0.9270241402911563,0.0014323998102927556,0.022980493308843664,1
0.001,0.2,0.99,16,0.9134229893964009,0.07277366217736395,0.023367702603599105,2
0.005,0.5,0.7,4,0.5844550287592052,0.2329797381097042,0.023635333440794826,4
0.01,0.5,0.9,4,0.5844550287592052,0.2329797381097042,0.023635333440794826,4
0.02,0.5,0.7,4,0.5844550287592052,0.2329797381097042,0.023635333440794826,5
0.001,0.1,0.99,32,0.9262087538489355,0.0014588631332993825,0.02368771015106441,1
0.02,0.05,0.8,32,0.5727354234435313,0.325890180115826,0.0237752042435313,3
0.02,0.1,0.95,32,0.5727354234435313,0.325890180115826,0.0237752042435313,3
0.01,0.2,0.95,32,0.5151565825354049,0.36516633161961737,0.024106891535404906,3
0.001,0.2,0.95,8,0.9238846831525124,0.028818032318493524,0.02440245024748766,2
0.001,0.2,0.99,8,0.9206622306861558,0.043786762526055394,0.02458691371384425,2
0.005,0.2,0.99,8,0.9206622306861558,0.043786762526055394,0.02458691371384425,2
0.05,0.05,0.8,8,0.9206622306861558,0.043786762526055394,0.02458691371384425,2
0.005,0.05,0.8,32,0.924506223258387,0.002318131200810025,0.02491919814161292,1
0.01,0.01,0.7,32,0.924506223258387,0.002318131200810025,0.02491919814161292,1
0.001,0.1,0.7,32,0.9227252801317257,0.015620593866924378,0.025185490868274263,1
0.001,0.1,0.8,32,0.9227252801317257,0.015620593866924378,0.025185490868274263,1
0.005,0.05,0.7,32,0.9227252801317257,0.015620593866924378,0.025185490868274263,1
0.001,0.2,0.9,16,0.9194070643547112,0.043786762526055394,0.025842080045288873,2
0.001,0.1,0.9,16,0.9107697993561609,0.07277400485554175,0.02602240704383907,2
0.02,0.05,0.8,16,0.9107697993561609,0.07277400485554175,0.02602240704383907,2
0.02,0.1,0.9,16,0.9107697993561609,0.07277400485554175,0.02602240704383907,3
0.02,0.1,0.95,16,0.9107697993561609,0.07277400485554175,0.02602240704383907,2
0.02,0.1,0.7,8,0.9103738516454526,0.07277400485554175,0.026418354754547346,2
0.005,0.1,0.95,32,0.9236231498151093,0.005209122629098817,0.026420443184890785,1
0.05,0.2,0.9,4,0.9071321451038888,0.0727740985990824,0.029660479096111136,2
0.02,0.2,0.99,16,0.9138939086450253,0.04304430741048487,0.03036998275497471,2
0.02,0.05,0.7,16,0.9049302219785653,0.07277416315201252,0.03186268842143458,2
0.001,0.2,0.95,16,0.9053483647771363,0.0725998919424634,0.03252056682286375,2
0.005,0.2,0.99,16,0.9053483647771363,0.0725998919424634,0.03252056682286375,2
